,code,name,market,sector,date,start_price,closing_price,high_price,low_price,MA25,volume
2569,6678,テクノメディカ,東証１,電気機器,2020年5月09日,"1,875","1,860","1,888","1,860",2.63,5
2574,6699,ダイヤモンドエレクトリックホールディングス,東証１,電気機器,2020年5月09日,482,494,500,476,3.48,17
2575,6701,ＮＥＣ,東証１,電気機器,2020年5月09日,"4,105","4,100","4,115","4,040",0.82,4789
2576,6702,富士通,東証１,電気機器,2020年5月09日,"10,575","10,545","10,580","10,470",3.28,7778
2577,6703,沖電気工業,東証１,電気機器,2020年5月09日,"1,045","1,049","1,052","1,036",6.61,749
2578,6704,岩崎通信機,東証１,電気機器,2020年5月09日,843,843,846,840,2.49,4
2579,6706,電気興業,東証１,電気機器,2020年5月09日,"2,464","2,533","2,534","2,449",4.27,132
2580,6707,サンケン電気,東証１,電気機器,2020年5月09日,"2,218","2,258","2,258","2,195",8.75,160
2582,6715,ナカヨ,東証１,電気機器,2020年5月09日,"1,369","1,374","1,374","1,344",-0.39,4
2583,6718,アイホン,東証１,電気機器,2020年5月09日,"1,550","1,570","1,570","1,536",5.72,30
2586,6723,ルネサスエレクトロニクス,東証１,電気機器,2020年5月09日,568,580,583,560,26.65,7895
2587,6724,セイコーエプソン,東証１,電気機器,2020年5月09日,"1,174","1,206","1,209","1,152",11.93,3391
2588,6727,ワコム,東証１,電気機器,2020年5月09日,385,377,385,359,8.72,733
2589,6728,アルバック,東証１,電気機器,2020年5月09日,"2,920","2,927","2,938","2,879",7.31,852
2590,6730,アクセル,東証１,電気機器,2020年5月09日,734,728,734,712,4.82,49
2594,6737,ＥＩＺＯ,東証１,電気機器,2020年5月09日,"3,315","3,270","3,315","3,225",2.77,189
2595,6740,ジャパンディスプレイ,東証１,電気機器,2020年5月09日,43,43,43,42,-4.36,48
2596,6741,日本信号,東証１,電気機器,2020年5月09日,"1,032","1,047","1,048","1,028",5.72,194
2597,6742,京三製作所,東証１,電気機器,2020年5月09日,514,513,516,506,10.46,58
2599,6744,能美防災,東証１,電気機器,2020年5月09日,"2,149","2,157","2,160","2,123",7.66,156
2600,6745,ホーチキ,東証１,電気機器,2020年5月09日,"1,279","1,317","1,320","1,264",0.9,61
2601,6748,星和電機,東証１,電気機器,2020年5月09日,580,589,590,570,5.5,14
2602,6750,エレコム,東証１,電気機器,2020年5月09日,"4,440","4,360","4,460","4,345",2.58,384
2603,6752,パナソニック,東証１,電気機器,2020年5月09日,792.8,799.6,805.5,787.3,0.71,5770
2604,6753,シャープ,東証１,電気機器,2020年5月09日,"1,170","1,181","1,189","1,159",3.35,1922
2605,6754,アンリツ,東証１,電気機器,2020年5月09日,"2,232","2,208","2,264","2,202",4.78,5616
2606,6755,富士通ゼネラル,東証１,電気機器,2020年5月09日,"1,761","1,792","1,793","1,743",-0.32,828
2608,6758,ソニー,東証１,電気機器,2020年5月09日,"6,899","6,948","6,967","6,854",4.05,39858
2609,6762,ＴＤＫ,東証１,電気機器,2020年5月09日,"9,200","9,370","9,390","9,150",9.27,11600
2610,6763,帝国通信工業,東証１,電気機器,2020年5月09日,"1,207","1,206","1,207","1,193",2.91,4
2611,6768,タムラ製作所,東証１,電気機器,2020年5月09日,433,439,442,430,11.8,94
2613,6770,アルプスアルパイン,東証１,電気機器,2020年5月09日,"1,079","1,122","1,128","1,070",11.17,4985
2614,6771,池上通信機,東証１,電気機器,2020年5月09日,824,842,842,816,3.22,16
2620,6779,日本電波工業,東証１,電気機器,2020年5月09日,405,406,407,396,5.85,35
2621,6785,鈴木,東証１,電気機器,2020年5月09日,724,721,724,715,2.09,8
2624,6788,日本トリム,東証１,電気機器,2020年5月09日,"3,145","3,130","3,220","3,070",9.39,140
2625,6789,ローランド　ディー．ジー．,東証１,電気機器,2020年5月09日,"1,335","1,358","1,367","1,323",9.57,50
2626,6794,フォスター電機,東証１,電気機器,2020年5月09日,"1,167","1,197","1,202","1,155",7.83,97
2628,6798,ＳＭＫ,東証１,電気機器,2020年5月09日,"2,600","2,645","2,645","2,562",9.91,24
2629,6800,ヨコオ,東証１,電気機器,2020年5月09日,"2,450","2,474","2,486","2,396",8.87,257
2630,6803,ティアック,東証１,電気機器,2020年5月09日,149,149,150,147,1.36,2
2631,6804,ホシデン,東証１,電気機器,2020年5月09日,919,912,926,896,7.54,731
2632,6806,ヒロセ電機,東証１,電気機器,2020年5月09日,"11,780","12,030","12,080","11,780",8.05,1687
2633,6807,日本航空電子工業,東証１,電気機器,2020年5月09日,"1,403","1,428","1,436","1,400",8.81,488
